DATE,POWER FLOW (mcm),ENERGY (GWh),RES ELEV (m),SPILL (mcm),GROSS STORAGE (mcm),RAIN (mm)
17-Jan-89,6.37,3.17,438.12,7.90,724.88,12.40
18-Jan-89,6.85,3.41,438.06,0.00,723.49,0.70
19-Jan-89,6.52,3.24,438.00,0.00,722.10,0.00
20-Jan-89,6.73,3.35,437.88,0.00,719.17,0.00
21-Jan-89,4.80,2.39,437.79,0.00,716.43,0.00
22-Jan-89,3.53,1.76,437.66,0.00,713.94,0.00
23-Jan-89,4.62,2.30,437.60,0.00,712.35,0.00
24-Jan-89,5.39,2.68,437.47,0.00,709.33,0.00
25-Jan-89,4.90,2.43,437.32,0.00,705.61,0.00
26-Jan-89,4.96,2.46,437.18,0.00,702.37,0.00
27-Jan-89,3.92,1.94,437.04,0.00,703.89,0.00
28-Jan-89,2.20,1.09,436.94,0.00,696.56,0.00
29-Jan-89,1.96,0.97,436.87,0.00,694.93,0.00
30-Jan-89,3.18,1.57,436.84,0.00,694.04,0.00
31-Jan-89,4.19,2.07,436.72,0.00,691.30,0.00
1-Feb-89,4.58,2.26,436.59,0.00,688.18,0.00
2-Feb-89,5.93,2.93,436.42,0.00,683.96,0.00
3-Feb-89,6.09,3.00,436.22,0.00,679.18,0.00
4-Feb-89,2.65,1.30,436.02,0.00,674.38,0.00
5-Feb-89,2.61,1.29,435.96,0.00,673.09,0.00
6-Feb-89,3.45,1.70,435.87,0.00,670.76,0.00
7-Feb-89,5.05,2.48,435.74,0.00,667.71,0.00
8-Feb-89,5.31,2.61,435.53,0.00,662.72,0.00
9-Feb-89,4.25,2.09,435.35,0.00,658.28,0.00
10-Feb-89,2.37,1.16,435.20,0.00,654.75,0.00
11-Feb-89,2.72,1.33,435.11,0.00,652.57,0.00
12-Feb-89,1.17,0.57,434.99,0.00,649.71,0.00
13-Feb-89,1.38,0.68,434.97,0.00,649.45,0.00
14-Feb-89,0.97,0.48,434.91,0.00,648.13,0.00
15-Feb-89,1.06,0.52,434.87,0.00,647.35,0.00
16-Feb-89,0.86,0.42,434.84,0.00,646.72,0.00
17-Feb-89,1.16,0.57,434.82,0.00,646.18,0.00
18-Feb-89,2.09,1.02,434.77,0.00,645.21,0.00
19-Feb-89,0.63,0.31,434.69,0.00,643.47,0.00
20-Feb-89,0.26,0.13,434.62,0.00,642.02,0.00
21-Feb-89,1.03,0.50,434.66,0.00,642.88,0.00
22-Feb-89,1.23,0.60,434.62,0.00,642.10,0.00
23-Feb-89,1.49,0.73,434.57,0.00,640.91,0.00
24-Feb-89,1.97,0.96,434.52,0.00,639.90,31.80
25-Feb-89,1.56,0.77,434.47,0.00,638.81,1.20
26-Feb-89,1.48,0.72,434.40,0.00,637.44,2.40
27-Feb-89,2.56,1.25,434.36,0.00,636.50,0.00
28-Feb-89,4.48,2.19,434.26,0.00,634.40,0.00
1-Mar-89,9.24,4.50,433.98,0.00,628.66,0.00
2-Mar-89,9.39,4.57,433.61,0.00,620.89,0.00
3-Mar-89,9.97,4.84,433.18,0.00,611.89,0.00
4-Mar-89,9.74,4.72,432.76,0.00,602.88,0.00
5-Mar-89,5.36,2.59,432.36,0.00,594.48,0.00
6-Mar-89,5.41,2.62,432.04,0.00,587.84,0.00
7-Mar-89,7.75,3.74,431.83,0.00,583.41,1.60
8-Mar-89,9.95,4.79,431.44,0.00,575.28,0.00
9-Mar-89,9.30,4.47,430.99,0.00,565.81,5.20
10-Mar-89,9.00,4.32,430.55,0.00,556.63,1.50
11-Mar-89,7.37,3.53,430.16,0.00,548.30,7.80
12-Mar-89,6.38,3.05,429.85,0.00,542.21,11.60
13-Mar-89,7.59,3.62,429.60,0.00,537.85,11.60
14-Mar-89,9.57,4.56,429.19,0.00,530.49,0.00
15-Mar-89,8.18,3.88,428.70,0.00,521.56,0.00
16-Mar-89,7.37,3.49,428.30,0.00,514.35,0.00
17-Mar-89,8.01,3.79,427.88,0.00,506.82,0.00
18-Mar-89,7.79,3.68,427.47,0.00,499.46,0.00
19-Mar-89,6.24,2.94,427.04,0.00,491.79,0.00
20-Mar-89,7.49,3.52,426.72,0.00,485.98,0.00
21-Mar-89,5.52,2.59,426.26,0.00,477.75,0.00
22-Mar-89,4.85,2.27,426.00,0.00,472.95,0.00
23-Mar-89,6.82,3.19,425.75,0.00,468.55,0.00
24-Mar-89,6.83,3.18,425.26,0.00,459.61,0.00
25-Mar-89,7.65,3.56,424.86,0.00,452.79,0.00
26-Mar-89,4.68,2.17,424.45,0.00,446.22,0.00
27-Mar-89,6.42,2.97,424.15,0.00,441.37,0.00
28-Mar-89,7.06,3.27,423.74,0.00,434.78,0.00
29-Mar-89,6.99,3.22,423.31,0.00,427.94,0.00
30-Mar-89,6.64,3.06,422.90,0.00,421.34,0.00
31-Mar-89,6.71,3.09,422.46,0.00,414.36,0.00
1-Apr-89,6.36,2.92,422.02,0.00,407.37,0.00
2-Apr-89,5.56,2.54,421.62,0.00,400.84,0.00
3-Apr-89,5.71,2.61,421.28,0.00,395.53,17.20
4-Apr-89,5.37,2.45,420.89,0.00,389.29,0.00
5-Apr-89,5.22,2.37,420.56,0.00,383.94,0.00
6-Apr-89,6.20,2.82,420.22,0.00,378.47,0.00
7-Apr-89,5.53,2.51,419.77,0.00,371.71,0.00
8-Apr-89,6.24,2.82,419.36,0.00,366.07,9.80
9-Apr-89,5.63,2.54,418.94,0.00,360.10,4.40
10-Apr-89,5.34,2.40,418.55,0.00,354.67,0.00
11-Apr-89,6.17,2.77,418.18,0.00,349.46,0.00
12-Apr-89,5.99,2.68,417.72,0.00,343.14,0.00
13-Apr-89,4.64,2.07,417.29,0.00,337.10,0.00
14-Apr-89,5.47,2.43,416.38,0.00,331.29,0.00
15-Apr-89,3.79,1.69,416.52,0.00,326.24,0.00
16-Apr-89,3.85,1.71,416.23,0.00,322.19,0.00
17-Apr-89,3.92,1.74,415.79,0.00,315.96,0.00
18-Apr-89,3.41,1.51,415.61,0.00,313.47,4.20
19-Apr-89,2.97,1.31,415.39,0.00,310.42,0.00
20-Apr-89,3.29,1.45,415.12,0.00,306.71,59.00
21-Apr-89,2.31,1.02,415.14,0.00,306.92,14.40
22-Apr-89,3.09,1.36,415.10,0.00,306.44,24.20
23-Apr-89,3.16,1.39,414.96,0.00,304.55,0.00
24-Apr-89,3.08,1.36,414.76,0.00,302.36,1.20
25-Apr-89,3.42,1.51,414.53,0.00,299.82,0.00
26-Apr-89,3.21,1.41,414.27,0.00,297.01,0.00
27-Apr-89,2.12,0.93,414.08,0.00,294.88,2.00
28-Apr-89,3.20,1.41,413.91,0.00,292.99,0.00
29-Apr-89,3.66,1.60,413.65,0.00,290.16,0.00
30-Apr-89,3.62,1.58,413.30,0.00,286.30,0.00
1-May-89,3.29,1.44,412.96,0.00,282.57,0.00
2-May-89,3.82,1.67,412.73,0.00,280.00,1.60
3-May-89,5.43,2.36,412.37,0.00,276.07,1.60
4-May-89,3.93,1.70,411.94,0.00,271.29,0.40
5-May-89,4.31,1.87,411.58,0.00,267.36,0.00
6-May-89,5.03,2.17,411.26,0.00,263.88,28.80
7-May-89,3.45,1.49,410.91,0.00,260.03,0.00
8-May-89,3.31,1.43,410.61,0.00,256.70,13.80
9-May-89,4.25,1.83,410.49,0.00,255.34,0.00
10-May-89,3.98,1.71,410.19,0.00,252.04,0.00
11-May-89,3.02,1.29,409.82,0.00,248.19,0.00
12-May-89,3.61,1.54,409.58,0.00,245.81,0.00
13-May-89,4.26,1.82,409.20,0.00,241.99,0.00
14-May-89,2.10,0.89,408.79,0.00,237.85,0.00
15-May-89,4.69,2.00,408.58,0.00,235.75,0.00
16-May-89,4.15,1.76,408.09,0.00,230.91,0.00
17-May-89,4.83,2.04,407.64,0.00,226.39,0.00
18-May-89,5.05,2.13,407.09,0.00,220.91,0.60
19-May-89,4.91,2.07,406.53,0.00,215.32,0.00
20-May-89,2.58,1.08,405.96,0.00,209.64,3.60
21-May-89,2.12,0.89,405.24,0.00,202.38,4.00
22-May-89,1.57,0.66,405.21,0.00,202.06,9.20
23-May-89,3.24,1.35,405.21,0.00,202.12,0.50
24-May-89,3.24,1.35,405.26,0.00,202.59,1.70
25-May-89,3.15,1.32,405.66,0.00,206.58,0.00
26-May-89,3.02,1.26,405.33,0.00,203.27,0.00
27-May-89,5.83,2.43,405.09,0.00,200.88,0.00
28-May-89,5.48,2.28,404.56,0.00,196.91,0.00
29-May-89,6.65,2.76,404.29,0.00,195.04,1.20
30-May-89,5.53,2.28,403.07,0.00,186.46,0.00
31-May-89,7.16,2.98,405.04,0.00,200.36,0.00
1-Jun-89,7.20,3.01,405.28,0.00,202.80,0.20
2-Jun-89,6.14,2.57,405.77,0.00,207.70,1.90
3-Jun-89,6.20,2.59,405.63,0.00,206.25,0.00
4-Jun-89,3.91,1.67,409.53,0.00,245.30,3.20
5-Jun-89,4.88,2.11,411.57,0.00,267.25,8.20
6-Jun-89,6.00,2.62,413.06,0.00,283.70,0.20
7-Jun-89,6.70,2.95,414.41,0.00,298.53,0.00
8-Jun-89,6.81,3.00,414.56,0.00,300.19,0.00
9-Jun-89,5.55,2.45,414.62,0.00,300.84,0.80
10-Jun-89,5.34,2.35,414.53,0.00,299.83,1.50
11-Jun-89,6.58,2.90,414.56,0.00,300.17,2.20
12-Jun-89,6.89,3.03,414.56,0.00,300.13,11.20
13-Jun-89,6.34,2.79,414.58,0.00,300.39,1.20
14-Jun-89,5.56,2.45,414.97,0.00,304.67,4.20
15-Jun-89,4.24,1.87,415.26,0.00,308.65,0.00
16-Jun-89,3.56,1.58,415.66,0.00,314.20,0.00
17-Jun-89,2.34,1.04,415.88,0.00,317.29,0.00
18-Jun-89,1.07,0.48,416.22,0.00,322.08,0.00
19-Jun-89,1.25,0.55,416.21,0.00,322.00,0.40
20-Jun-89,1.50,0.67,417.26,0.00,336.64,2.80
21-Jun-89,2.97,1.33,417.91,0.00,345.74,5.20
22-Jun-89,3.89,1.75,418.35,0.00,351.90,0.50
23-Jun-89,3.78,1.70,418.70,0.00,356.76,0.00
24-Jun-89,3.55,1.60,418.79,0.00,358.06,0.00
25-Jun-89,3.53,1.59,418.92,0.00,359.82,0.00
26-Jun-89,2.25,1.01,418.97,0.00,360.58,0.00
27-Jun-89,3.17,1.43,418.96,0.00,360.44,0.20
28-Jun-89,3.74,1.69,419.05,0.00,361.70,0.00
29-Jun-89,3.89,1.76,419.18,0.00,363.52,0.20
30-Jun-89,4.16,1.88,419.25,0.00,364.50,0.00
1-Jul-89,3.78,1.71,419.31,0.00,365.27,0.00
2-Jul-89,3.51,1.59,419.28,0.00,364.98,0.00
3-Jul-89,4.17,1.88,419.20,0.00,363.73,0.00
4-Jul-89,4.21,1.90,419.04,0.00,361.56,43.80
5-Jul-89,3.64,1.64,419.17,0.00,363.32,0.00
6-Jul-89,2.97,1.34,419.33,0.00,365.62,0.00
7-Jul-89,3.25,1.47,419.40,0.00,366.60,1.10
8-Jul-89,4.16,1.88,419.58,0.00,369.12,6.40
9-Jul-89,2.16,0.98,419.74,0.00,371.36,0.00
10-Jul-89,3.11,1.41,420.13,0.00,377.08,51.40
11-Jul-89,2.78,1.27,421.21,0.00,394.28,0.00
12-Jul-89,1.51,0.69,421.53,0.00,399.53,1.20
13-Jul-89,1.38,0.63,421.63,0.00,401.08,0.40
14-Jul-89,0.95,0.44,422.56,0.00,416.01,0.00
15-Jul-89,0.86,0.39,422.76,0.00,419.13,2.70
16-Jul-89,0.12,0.06,423.27,0.00,427.30,15.30
17-Jul-89,0.44,0.20,424.04,0.00,439.69,4.20
18-Jul-89,0.07,0.03,426.05,0.00,473.58,0.20
19-Jul-89,0.06,0.03,427.67,0.00,503.08,0.00
20-Jul-89,0.07,0.03,428.70,0.00,521.60,14.20
21-Jul-89,0.33,0.16,429.78,0.00,541.09,22.20
22-Jul-89,0.00,0.00,432.53,0.00,598.13,5.90
23-Jul-89,0.00,0.00,435.69,0.00,666.61,6.10
24-Jul-89,0.45,0.23,438.15,33.60,722.00,0.00
25-Jul-89,1.22,0.61,438.08,28.60,722.00,0.00
26-Jul-89,0.82,0.41,438.06,19.30,722.00,0.00
27-Jul-89,0.63,0.31,438.81,16.10,722.00,0.00
28-Jul-89,0.85,0.42,438.04,12.70,722.00,0.00
29-Jul-89,0.69,0.34,438.04,10.50,722.00,0.00
30-Jul-89,0.75,0.37,438.01,7.00,722.00,0.00
31-Jul-89,2.00,1.00,438.04,5.40,722.00,0.00
1-Aug-89,2.68,1.33,438.00,1.74,722.00,0.00
2-Aug-89,2.55,1.27,438.06,2.07,722.00,0.00
3-Aug-89,2.25,1.12,438.05,5.43,722.00,0.00
4-Aug-89,1.61,0.80,438.05,2.34,722.00,72.00
5-Aug-89,2.29,1.14,438.01,25.39,722.00,0.00
6-Aug-89,2.85,1.42,438.03,11.01,722.00,0.00
7-Aug-89,2.05,1.02,438.04,9.50,722.00,3.60
8-Aug-89,2.69,1.34,438.07,8.80,722.00,0.00
9-Aug-89,3.12,1.55,438.01,6.20,722.00,0.00
10-Aug-89,2.71,1.35,438.04,8.60,722.00,4.50
11-Aug-89,1.50,0.75,438.06,46.20,722.00,0.00
12-Aug-89,2.77,1.38,438.05,18.40,722.00,0.00
13-Aug-89,1.43,0.71,438.05,11.40,722.00,0.00
14-Aug-89,2.29,1.14,438.03,5.20,722.00,0.00
15-Aug-89,1.73,0.86,438.01,6.80,722.00,0.00
16-Aug-89,0.85,0.42,438.04,9.10,722.00,0.00
17-Aug-89,1.63,0.81,438.02,6.80,722.00,0.00
18-Aug-89,2.37,1.18,438.07,1.70,722.00,0.00
19-Aug-89,2.98,1.49,438.04,3.50,722.00,0.00
20-Aug-89,1.72,0.85,438.05,3.80,722.00,0.00
21-Aug-89,1.94,0.97,438.23,4.76,722.00,0.00
22-Aug-89,2.35,1.17,438.07,2.14,722.00,0.00
23-Aug-89,2.86,1.42,438.00,1.94,722.00,0.00
24-Aug-89,2.60,1.30,438.01,0.00,722.00,0.00
25-Aug-89,1.66,0.83,438.02,2.53,722.00,0.00
26-Aug-89,2.57,1.28,438.00,2.48,722.00,0.00
27-Aug-89,1.52,0.76,437.97,0.00,721.28,0.00
28-Aug-89,0.89,0.44,438.02,1.62,722.00,0.00
29-Aug-89,0.69,0.34,438.07,0.00,722.00,0.00
30-Aug-89,0.80,0.40,438.00,0.00,722.00,0.00
31-Aug-89,1.00,0.50,437.95,0.00,722.00,0.00
1-Sep-89,2.88,1.43,437.96,0.00,721.09,0.00
2-Sep-89,2.80,1.39,437.94,0.00,720.56,0.00
3-Sep-89,2.56,1.27,437.88,0.00,719.12,29.50
4-Sep-89,2.61,1.30,437.82,0.00,717.68,0.00
5-Sep-89,2.47,1.23,437.80,0.00,717.20,0.00
6-Sep-89,2.02,1.00,437.22,0.00,715.28,0.00
7-Sep-89,2.22,1.10,437.66,0.00,713.94,0.00
8-Sep-89,2.53,1.26,437.62,0.00,712.95,0.00
9-Sep-89,3.58,1.78,437.54,0.00,711.06,0.00
10-Sep-89,2.19,1.09,437.45,0.00,708.80,0.00
11-Sep-89,3.36,1.67,437.35,0.00,706.40,0.00
12-Sep-89,3.23,1.60,437.23,0.00,703.52,7.70
13-Sep-89,2.61,1.29,437.16,0.00,701.84,0.00
14-Sep-89,1.02,0.51,437.46,0.00,709.04,0.00
15-Sep-89,1.51,0.75,437.62,0.00,712.88,16.80
16-Sep-89,1.49,0.74,437.83,4.87,717.92,0.00
17-Sep-89,1.30,0.65,438.01,21.61,722.00,9.70
18-Sep-89,1.71,0.85,438.07,15.18,722.00,0.00
19-Sep-89,1.79,0.89,438.02,18.81,722.00,0.00
20-Sep-89,2.44,1.21,438.11,28.80,722.00,0.00
21-Sep-89,2.27,1.13,438.04,17.37,722.00,13.50
22-Sep-89,2.01,1.00,438.03,13.13,722.00,0.00
23-Sep-89,0.63,0.32,438.00,10.49,722.00,0.00
24-Sep-89,0.77,0.38,437.94,8.39,720.56,0.00
25-Sep-89,1.60,0.79,438.01,3.97,722.00,0.00
26-Sep-89,2.09,1.04,438.00,4.06,722.00,0.00
27-Sep-89,2.43,1.21,437.97,3.10,721.23,0.00
28-Sep-89,2.66,1.32,438.02,0.00,722.00,0.00
29-Sep-89,3.16,1.57,438.01,0.00,722.00,16.50
30-Sep-89,3.16,1.57,438.00,4.34,722.00,7.60
1-Oct-89,1.85,0.92,438.00,2.13,722.00,0.00
2-Oct-89,2.32,1.15,438.03,2.38,722.00,0.00
3-Oct-89,1.50,0.74,438.00,1.88,722.00,0.00
4-Oct-89,2.04,1.01,437.97,0.18,721.28,0.00
5-Oct-89,2.46,1.23,437.98,2.84,721.52,0.00
6-Oct-89,2.35,1.17,438.02,3.33,722.00,0.00
7-Oct-89,3.13,1.56,438.45,4.79,722.00,0.00
8-Oct-89,1.39,0.70,438.47,3.76,722.00,0.00
9-Oct-89,4.21,2.09,437.92,0.00,720.08,0.00
10-Oct-89,5.01,2.49,437.99,0.00,721.83,0.00
11-Oct-89,4.65,2.31,437.96,0.00,720.99,12.00
12-Oct-89,3.22,1.60,437.87,0.00,718.93,17.00
13-Oct-89,1.91,0.95,437.95,1.39,720.85,15.00
14-Oct-89,2.21,1.10,438.00,2.38,721.98,19.00
15-Oct-89,1.02,0.51,438.01,3.12,722.00,0.00
16-Oct-89,2.06,1.03,438.04,0.00,722.00,0.00
17-Oct-89,4.49,2.23,438.01,0.00,722.00,0.00
18-Oct-89,3.50,1.74,437.92,0.00,719.96,0.00
19-Oct-89,2.41,1.20,437.90,0.00,719.60,2.50
20-Oct-89,1.79,0.89,438.01,7.22,722.00,6.30
21-Oct-89,1.96,0.97,438.03,5.89,722.00,0.00
22-Oct-89,1.55,0.77,438.02,0.80,722.00,10.50
23-Oct-89,3.76,1.87,437.98,2.94,721.54,0.00
24-Oct-89,2.97,1.48,437.95,0.00,720.80,0.00
25-Oct-89,2.78,1.38,437.91,0.00,719.85,26.10
26-Oct-89,2.69,1.34,437.90,0.00,719.65,80.00
27-Oct-89,2.98,1.48,437.94,0.00,720.58,69.20
28-Oct-89,2.38,1.18,438.03,6.42,722.00,7.50
29-Oct-89,1.43,0.71,438.02,15.93,722.00,6.80
30-Oct-89,1.76,0.88,438.03,13.81,722.00,12.50
31-Oct-89,2.34,1.17,438.05,18.31,722.00,6.70
1-Nov-89,2.99,1.49,438.14,23.38,722.00,5.00
2-Nov-89,2.20,1.09,438.06,16.35,722.00,18.80
3-Nov-89,2.32,1.16,438.11,21.39,722.00,10.00
4-Nov-89,2.03,1.01,438.12,25.56,722.00,0.00
5-Nov-89,1.47,0.73,438.07,18.86,722.00,0.00
6-Nov-89,2.65,1.32,438.01,8.59,722.00,0.00
7-Nov-89,1.01,0.50,438.06,5.95,722.00,0.00
8-Nov-89,2.53,1.26,438.00,3.02,721.88,0.00
9-Nov-89,3.41,1.70,437.98,2.52,721.59,0.00
10-Nov-89,3.93,1.95,438.05,1.69,722.00,0.00
11-Nov-89,3.22,1.60,438.04,0.00,722.00,36.00
12-Nov-89,1.57,0.78,438.04,0.00,722.00,10.00
13-Nov-89,2.82,1.41,438.03,5.06,722.00,4.60
14-Nov-89,2.85,1.42,438.23,9.74,722.00,0.00
15-Nov-89,2.92,1.45,437.99,4.92,721.81,12.00
16-Nov-89,3.52,1.75,438.00,0.00,722.00,0.00
17-Nov-89,3.83,1.91,438.04,0.00,722.00,0.00
18-Nov-89,3.05,1.52,438.00,10.10,722.00,36.50
19-Nov-89,1.92,0.96,438.14,49.60,722.00,26.40
20-Nov-89,1.80,0.90,438.10,29.98,722.00,5.40
21-Nov-89,2.69,1.34,438.07,13.34,722.00,0.00
22-Nov-89,3.20,1.59,438.05,9.67,722.00,9.00
23-Nov-89,2.75,1.37,438.00,0.00,722.00,0.00
24-Nov-89,1.99,0.99,438.05,0.00,722.00,3.20
25-Nov-89,3.25,1.62,438.04,0.00,722.00,9.50
26-Nov-89,2.04,1.01,438.02,0.00,722.00,1.30
27-Nov-89,3.58,1.78,438.05,4.47,722.00,3.50
28-Nov-89,3.67,1.83,437.99,4.24,721.76,12.10
29-Nov-89,3.75,1.87,438.01,4.47,722.00,3.30
30-Nov-89,4.16,2.07,438.03,0.00,722.00,1.00
1-Dec-89,4.55,2.27,438.02,3.33,722.00,0.00
2-Dec-89,3.30,1.64,438.03,4.90,722.00,0.00
3-Dec-89,2.03,1.01,438.05,4.82,722.00,13.00
4-Dec-89,2.74,1.36,438.04,2.08,722.00,6.40
5-Dec-89,3.30,1.64,438.06,2.04,722.00,42.00
6-Dec-89,4.47,2.22,438.02,0.00,722.00,0.00
7-Dec-89,3.33,1.66,438.03,3.35,722.00,6.50
8-Dec-89,5.08,2.53,438.03,2.94,722.00,0.00
9-Dec-89,5.50,2.74,437.94,0.00,720.63,0.00
10-Dec-89,3.14,1.56,437.87,0.00,718.98,0.00
11-Dec-89,4.95,2.46,437.80,0.00,717.25,0.00
12-Dec-89,4.32,2.14,437.65,0.00,713.70,0.00
13-Dec-89,5.35,2.66,437.56,0.00,711.51,0.00
14-Dec-89,4.42,2.19,437.44,0.00,713.58,11.90
15-Dec-89,5.33,2.64,437.40,0.00,707.53,31.00
16-Dec-89,5.55,2.76,437.48,0.00,709.45,15.00
17-Dec-89,4.34,2.16,437.56,0.00,711.44,0.00
18-Dec-89,4.43,2.20,437.57,0.00,711.61,4.80
19-Dec-89,5.53,2.74,437.52,0.00,710.41,0.00
20-Dec-89,5.10,2.53,437.41,0.00,707.84,0.00
21-Dec-89,6.13,3.04,437.26,0.00,704.24,0.00
22-Dec-89,5.39,2.67,437.13,0.00,701.12,0.00
23-Dec-89,5.10,2.53,436.94,0.00,696.56,0.00
24-Dec-89,4.39,2.17,436.80,0.00,693.20,0.00
25-Dec-89,3.72,1.84,436.66,0.00,689.84,0.00
26-Dec-89,3.22,1.59,436.60,0.00,688.40,0.00
27-Dec-89,3.94,1.95,436.45,0.00,684.80,0.00
28-Dec-89,3.90,1.92,436.40,0.00,683.60,0.00
29-Dec-89,3.80,1.87,436.20,0.00,678.80,0.00
30-Dec-89,5.55,2.73,436.00,0.00,674.00,0.00
31-Dec-89,4.43,2.18,435.70,0.00,666.80,0.00
1-Jan-90,4.59,2.26,435.45,0.00,660.80,0.00
2-Jan-90,4.65,2.28,435.15,0.00,653.60,0.00
3-Jan-90,5.04,2.47,435.00,0.00,650.00,22.20
4-Jan-90,2.85,1.40,435.10,0.00,652.33,166.00
5-Jan-90,4.45,2.19,436.17,0.00,678.18,95.30
6-Jan-90,4.58,2.28,438.01,0.00,722.00,0.00
7-Jan-90,3.86,1.92,438.04,0.00,722.00,0.00
8-Jan-90,5.24,2.61,438.02,0.00,722.00,0.00
9-Jan-90,4.18,2.08,438.05,0.00,722.00,0.00
10-Jan-90,4.80,2.39,438.00,0.00,721.90,0.00
11-Jan-90,6.16,3.07,438.06,0.00,722.00,0.00
12-Jan-90,4.64,2.31,438.04,0.00,722.00,0.00
13-Jan-90,5.45,2.71,438.03,0.00,722.00,0.00
14-Jan-90,4.79,2.39,437.97,0.00,721.33,0.00
15-Jan-90,5.59,2.78,437.96,0.00,720.97,0.00
16-Jan-90,4.92,2.45,437.90,0.00,719.60,0.00
17-Jan-90,4.45,2.21,437.83,0.00,717.92,0.00
18-Jan-90,5.19,2.58,437.81,0.00,717.32,0.00
19-Jan-90,5.10,2.54,437.72,0.00,715.23,0.00
20-Jan-90,5.38,2.67,437.64,0.00,713.31,0.00
21-Jan-90,4.51,2.24,437.53,0.00,710.77,0.00
22-Jan-90,5.32,2.64,437.45,0.00,708.70,0.00
23-Jan-90,5.30,2.63,437.21,0.00,702.97,0.00
24-Jan-90,5.38,2.67,437.18,0.00,702.10,0.00
25-Jan-90,4.93,2.44,437.01,0.00,698.26,0.00
26-Jan-90,5.19,2.57,436.84,0.00,694.21,0.00
27-Jan-90,6.82,3.37,436.65,0.00,689.58,0.00
28-Jan-90,3.44,1.70,436.43,0.00,684.37,0.00
29-Jan-90,4.91,2.42,436.30,0.00,681.30,0.00
30-Jan-90,6.30,3.11,436.12,0.00,676.83,3.00
31-Jan-90,5.68,2.80,435.91,0.00,671.89,4.10
1-Feb-90,4.62,2.27,435.78,0.00,668.74,0.00
2-Feb-90,4.07,2.00,435.63,0.00,665.17,0.00
3-Feb-90,3.91,1.92,435.43,0.00,660.39,0.00
4-Feb-90,3.27,1.60,435.35,0.00,658.28,1.60
5-Feb-90,4.39,2.15,435.24,0.00,655.66,0.00
6-Feb-90,5.69,2.79,435.06,0.00,651.44,0.00
7-Feb-90,6.65,3.26,434.83,0.00,646.45,12.00
8-Feb-90,6.14,3.01,434.63,0.00,642.17,0.00
9-Feb-90,3.94,1.92,434.40,0.00,637.42,0.00
10-Feb-90,3.70,1.81,434.30,0.00,635.26,0.00
11-Feb-90,3.53,1.72,434.15,0.00,632.23,8.00
12-Feb-90,4.88,2.38,434.07,0.00,630.41,0.00
13-Feb-90,5.39,2.63,433.92,0.00,627.32,0.00
14-Feb-90,5.74,2.79,433.71,0.00,622.99,0.00
15-Feb-90,4.76,2.31,433.49,0.00,618.35,0.00
16-Feb-90,5.10,2.48,433.30,0.00,614.36,0.00
17-Feb-90,3.90,1.89,433.11,0.00,610.35,0.00
18-Feb-90,3.21,1.56,432.96,0.00,607.12,0.00
19-Feb-90,4.70,2.28,432.85,0.00,604.93,1.90
20-Feb-90,5.81,2.82,432.72,0.00,602.04,0.00
21-Feb-90,4.90,2.37,432.54,0.00,598.34,0.00
22-Feb-90,4.10,1.99,432.34,0.00,594.16,0.00
23-Feb-90,3.32,1.61,432.17,0.00,590.57,3.00
24-Feb-90,2.94,1.42,432.07,0.00,588.49,31.80
25-Feb-90,1.98,0.96,432.07,0.00,588.41,41.80
26-Feb-90,5.20,2.51,432.38,0.00,594.92,0.00
27-Feb-90,4.57,2.21,432.34,0.00,594.14,13.00
28-Feb-90,5.26,2.54,432.21,0.00,591.33,0.00
1-Mar-90,4.36,2.11,432.01,0.00,587.25,0.00
2-Mar-90,4.11,1.98,431.84,0.00,583.60,0.00
3-Mar-90,4.20,2.02,431.69,0.00,580.49,0.00
4-Mar-90,3.74,1.80,431.50,0.00,576.56,0.00
5-Mar-90,3.43,1.65,431.35,0.00,573.39,0.00
6-Mar-90,2.35,1.13,431.23,0.00,570.83,0.00
7-Mar-90,2.84,1.37,431.14,0.00,569.00,0.00
8-Mar-90,1.71,0.82,431.12,0.00,568.92,0.00
9-Mar-90,4.66,2.24,431.07,0.00,567.37,0.00
10-Mar-90,1.46,0.70,430.92,0.00,564.24,0.00
11-Mar-90,2.82,1.36,430.88,0.00,563.44,0.00
12-Mar-90,3.03,1.45,430.74,0.00,560.58,9.00
13-Mar-90,3.34,1.60,430.61,0.00,557.79,1.00
14-Mar-90,3.62,1.73,430.50,0.00,555.44,8.50
15-Mar-90,4.31,2.07,430.44,0.00,554.22,0.00
16-Mar-90,3.79,1.81,430.27,0.00,550.71,0.00
17-Mar-90,3.59,1.72,430.12,0.00,547.42,4.60
18-Mar-90,2.61,1.25,429.96,0.00,544.19,7.60
19-Mar-90,3.66,1.75,429.86,0.00,542.50,1.40
20-Mar-90,3.49,1.67,429.71,0.00,539.69,0.00
21-Mar-90,3.87,1.85,429.56,0.00,537.12,0.00
22-Mar-90,5.81,2.77,429.39,0.00,534.04,0.00
23-Mar-90,5.46,2.60,429.14,0.00,529.52,42.50
24-Mar-90,4.73,2.25,429.09,0.00,528.57,0.00
25-Mar-90,4.46,2.12,429.04,0.00,527.63,84.80
26-Mar-90,5.54,2.63,429.06,0.00,528.01,28.50
27-Mar-90,5.69,2.71,429.03,0.00,527.49,0.00
28-Mar-90,6.14,2.92,428.87,0.00,524.12,0.00
29-Mar-90,5.80,2.75,428.63,0.00,520.32,0.00
